Date,Open,High,Low,Close,Adj Close,Volume
2020-08-17,111.800003,123.057335,111.522003,122.375999,122.375999,303634500
2020-08-18,126.599335,128.259995,123.007332,125.806000,125.806000,247117500
2020-08-19,124.333336,127.400002,122.747330,125.235336,125.235336,183079500
2020-08-20,124.045334,134.799332,123.804001,133.455338,133.455338,309177000
2020-08-21,136.317337,139.699326,135.003326,136.665329,136.665329,322344000
2020-08-24,141.751999,141.933334,128.501328,134.279999,134.279999,300954000
2020-08-25,131.659332,135.196671,131.199997,134.889328,134.889328,159883500
2020-08-26,137.333328,144.399994,136.908661,143.544662,143.544662,213591000
2020-08-27,145.363998,153.039993,142.833328,149.250000,149.250000,355395000
2020-08-28,153.007996,154.565994,145.768005,147.559998,147.559998,301218000
2020-08-31,148.203339,166.713333,146.703339,166.106674,166.106674,355123200
2020-09-01,167.380005,167.496674,156.836670,158.350006,158.350006,269523300
2020-09-02,159.663330,159.679993,135.039993,149.123337,149.123337,288528300
2020-09-03,135.743332,143.933334,134.000000,135.666672,135.666672,262788300
2020-09-04,134.270004,142.666672,124.006668,139.440002,139.440002,330965700
2020-09-08,118.666664,122.913330,109.959999,110.070000,110.070000,346397100
2020-09-09,118.866669,123.000000,113.836670,122.093330,122.093330,238397400
2020-09-10,128.736664,132.996674,120.186668,123.779999,123.779999,254791800
2020-09-11,127.313332,127.500000,120.166664,124.239998,124.239998,182152500
2020-09-14,126.983330,140.000000,124.433334,139.873337,139.873337,249061800
2020-09-15,145.520004,153.979996,143.566666,149.919998,149.919998,291894600
2020-09-16,146.623337,152.596664,145.103333,147.253326,147.253326,216837900
2020-09-17,138.533340,145.929993,136.000000,141.143326,141.143326,230337600
2020-09-18,149.313339,150.333328,142.933334,147.383331,147.383331,259220400
2020-09-21,151.043335,151.893326,135.690002,149.796661,149.796661,328430400
2020-09-22,143.199997,145.919998,139.199997,141.410004,141.410004,238742400
2020-09-23,135.053329,137.383331,125.293335,126.786667,126.786667,285222600
2020-09-24,121.266670,133.166672,117.099998,129.263336,129.263336,289683300
2020-09-25,131.156662,136.243332,130.433334,135.779999,135.779999,201625500
2020-09-28,141.539993,142.693329,138.516663,140.399994,140.399994,149158800
2020-09-29,138.666672,142.833328,137.199997,139.690002,139.690002,150657900
